Día de la semana,Hora de inicio,Hora de fin,Estación de origen,Estación de destino,Número de pasajeros,Nivel de congestión,Clima
Lunes,21:00,24:00,Calle 100,Portal Norte,45,Moderada,Lluvioso
Viernes,6:00,9:00,Portal Sur,Calle 26,81,Alta,Nublado
Jueves,15:00,18:00,Av. Jiménez,Portal Norte,41,Moderada,Nublado
Miércoles,15:00,18:00,Av. Jiménez,Portal Sur,10,Baja,Nublado
Sábado,15:00,18:00,Héroes,Av. Jiménez,41,Moderada,Nublado
Lunes,9:00,12:00,Calle 72,Portal Norte,68,Alta,Soleado
Miércoles,6:00,9:00,Av. Jiménez,Portal Norte,36,Baja,Soleado
Martes,18:00,21:00,Portal Norte,Calle 100,66,Alta,Soleado
Sábado,21:00,24:00,Av. Jiménez,Calle 72,41,Moderada,Nublado
Lunes,9:00,12:00,Portal Norte,Calle 100,7,Baja,Lluvioso
Domingo,15:00,18:00,Calle 26,Av. Jiménez,80,Alta,Nublado
Martes,12:00,15:00,Calle 26,Av. Jiménez,80,Alta,Nublado
Sábado,6:00,9:00,Portal Sur,Calle 72,73,Alta,Lluvioso
Viernes,9:00,12:00,Portal Sur,Héroes,91,Alta,Lluvioso
Viernes,15:00,18:00,Calle 26,Calle 72,33,Moderada,Soleado
Jueves,21:00,24:00,Héroes,Portal Sur,76,Alta,Lluvioso
Domingo,15:00,18:00,Héroes,Av. Jiménez,78,Alta,Lluvioso
Viernes,12:00,15:00,Portal Sur,Calle 26,39,Moderada,Soleado
Jueves,21:00,24:00,Calle 72,Portal Norte,10,Baja,Nublado
Martes,15:00,18:00,Calle 26,Héroes,40,Moderada,Nublado
Sábado,21:00,24:00,Portal Norte,Calle 100,23,Moderada,Soleado
Martes,21:00,24:00,Calle 26,Calle 100,76,Alta,Soleado
Jueves,15:00,18:00,Calle 26,Héroes,78,Alta,Soleado
Sábado,6:00,9:00,Portal Sur,Calle 72,12,Baja,Nublado
Miércoles,6:00,9:00,Portal Norte,Portal Sur,72,Alta,Soleado
Miércoles,21:00,24:00,Calle 26,Portal Norte,16,Baja,Soleado
Miércoles,15:00,18:00,Portal Sur,Av. Jiménez,30,Moderada,Soleado
Miércoles,12:00,15:00,Calle 100,Calle 72,79,Alta,Lluvioso
Sábado,6:00,9:00,Calle 26,Calle 72,66,Alta,Soleado
Martes,21:00,24:00,Av. Jiménez,Portal Sur,41,Moderada,Nublado
Viernes,12:00,15:00,Héroes,Calle 100,80,Alta,Nublado
Viernes,18:00,21:00,Portal Norte,Calle 72,78,Alta,Soleado
Lunes,18:00,21:00,Calle 72,Calle 26,41,Moderada,Nublado
Sábado,12:00,15:00,Calle 72,Héroes,65,Alta,Soleado
Viernes,21:00,24:00,Calle 26,Calle 72,21,Baja,Lluvioso
Jueves,15:00,18:00,Héroes,Calle 26,6,Baja,Soleado
Martes,12:00,15:00,Héroes,Portal Norte,40,Moderada,Nublado
Viernes,12:00,15:00,Portal Norte,Calle 26,26,Baja,Soleado
Viernes,15:00,18:00,Av. Jiménez,Portal Sur,15,Baja,Lluvioso
Domingo,9:00,12:00,Calle 100,Héroes,82,Alta,Lluvioso
Miércoles,18:00,21:00,Calle 26,Av. Jiménez,91,Alta,Lluvioso
Sábado,18:00,21:00,Portal Norte,Héroes,6,Baja,Lluvioso
Sábado,9:00,12:00,Calle 72,Héroes,53,Moderada,Lluvioso
Miércoles,15:00,18:00,Calle 72,Calle 100,85,Alta,Lluvioso
Miércoles,6:00,9:00,Av. Jiménez,Calle 100,10,Baja,Lluvioso
Viernes,15:00,18:00,Av. Jiménez,Calle 72,6,Baja,Nublado
Lunes,12:00,15:00,Portal Norte,Calle 26,44,Moderada,Lluvioso
Sábado,15:00,18:00,Portal Sur,Calle 26,62,Alta,Soleado
Miércoles,12:00,15:00,Av. Jiménez,Calle 26,80,Alta,Nublado
Domingo,15:00,18:00,Portal Norte,Héroes,75,Alta,Lluvioso
Lunes,9:00,12:00,Calle 100,Portal Sur,98,Alta,Lluvioso
Domingo,12:00,15:00,Portal Sur,Calle 100,22,Baja,Soleado
Domingo,21:00,24:00,Calle 100,Portal Sur,21,Baja,Soleado
Martes,21:00,24:00,Av. Jiménez,Héroes,71,Alta,Lluvioso
Miércoles,9:00,12:00,Av. Jiménez,Calle 100,24,Moderada,Soleado
Sábado,12:00,15:00,Portal Norte,Calle 100,34,Moderada,Soleado
Martes,9:00,12:00,Héroes,Calle 72,62,Alta,Soleado
Jueves,9:00,12:00,Calle 72,Calle 100,81,Alta,Nublado
Sábado,12:00,15:00,Portal Norte,Portal Sur,41,Moderada,Nublado
Miércoles,15:00,18:00,Av. Jiménez,Portal Norte,20,Baja,Lluvioso
Domingo,15:00,18:00,Calle 72,Portal Sur,44,Moderada,Lluvioso
Domingo,18:00,21:00,Av. Jiménez,Calle 72,40,Moderada,Nublado
Domingo,9:00,12:00,Calle 100,Portal Norte,41,Moderada,Lluvioso
Lunes,12:00,15:00,Calle 26,Av. Jiménez,7,Baja,Lluvioso
Martes,6:00,9:00,Héroes,Portal Sur,15,Baja,Nublado
Domingo,18:00,21:00,Calle 100,Héroes,62,Alta,Soleado
Jueves,12:00,15:00,Calle 100,Av. Jiménez,77,Alta,Soleado
Martes,18:00,21:00,Héroes,Calle 26,63,Alta,Soleado
Sábado,21:00,24:00,Portal Norte,Calle 26,80,Alta,Nublado
Lunes,12:00,15:00,Héroes,Portal Sur,68,Alta,Lluvioso
Miércoles,6:00,9:00,Calle 72,Av. Jiménez,49,Moderada,Lluvioso
Martes,15:00,18:00,Calle 26,Portal Sur,38,Baja,Soleado
Domingo,12:00,15:00,Av. Jiménez,Calle 100,41,Moderada,Nublado
Miércoles,6:00,9:00,Calle 100,Calle 72,55,Moderada,Lluvioso
Lunes,15:00,18:00,Portal Norte,Av. Jiménez,90,Alta,Lluvioso
Viernes,18:00,21:00,Portal Sur,Héroes,30,Baja,Soleado
Viernes,9:00,12:00,Héroes,Av. Jiménez,1,Baja,Lluvioso
Miércoles,6:00,9:00,Portal Sur,Calle 100,3,Baja,Soleado
Martes,12:00,15:00,Calle 100,Calle 72,80,Alta,Nublado
Miércoles,6:00,9:00,Calle 100,Calle 72,3,Baja,Nublado
Miércoles,12:00,15:00,Héroes,Calle 100,19,Baja,Soleado
Sábado,15:00,18:00,Calle 100,Portal Norte,5,Baja,Lluvioso
Viernes,9:00,12:00,Calle 26,Portal Sur,80,Alta,Lluvioso
Sábado,12:00,15:00,Calle 26,Calle 72,41,Moderada,Nublado
Viernes,15:00,18:00,Calle 72,Portal Sur,73,Alta,Lluvioso
Jueves,18:00,21:00,Héroes,Portal Norte,37,Moderada,Soleado
Lunes,6:00,9:00,Calle 100,Portal Sur,47,Moderada,Lluvioso
Viernes,12:00,15:00,Av. Jiménez,Calle 100,8,Baja,Soleado
Viernes,15:00,18:00,Calle 72,Calle 100,41,Moderada,Nublado
Martes,9:00,12:00,Portal Norte,Héroes,78,Alta,Soleado
Martes,21:00,24:00,Portal Norte,Calle 26,72,Alta,Lluvioso
Viernes,6:00,9:00,Calle 72,Calle 100,40,Moderada,Nublado
Sábado,15:00,18:00,Portal Sur,Calle 100,27,Baja,Soleado
Jueves,9:00,12:00,Héroes,Portal Norte,45,Moderada,Lluvioso
Martes,6:00,9:00,Portal Sur,Av. Jiménez,81,Alta,Nublado
Jueves,15:00,18:00,Portal Norte,Calle 72,80,Alta,Nublado
Domingo,18:00,21:00,Av. Jiménez,Héroes,75,Alta,Soleado
Sábado,6:00,9:00,Calle 26,Av. Jiménez,31,Moderada,Soleado
Lunes,6:00,9:00,Portal Sur,Calle 72,19,Baja,Soleado
Sábado,6:00,9:00,Calle 100,Héroes,40,Moderada,Nublado
Miércoles,15:00,18:00,Av. Jiménez,Portal Norte,63,Alta,Soleado
Miércoles,9:00,12:00,Portal Norte,Calle 100,68,Alta,Soleado
Viernes,15:00,18:00,Héroes,Calle 72,56,Moderada,Lluvioso
Viernes,15:00,18:00,Héroes,Av. Jiménez,20,Baja,Nublado
Jueves,12:00,15:00,Calle 72,Portal Norte,71,Alta,Soleado
Sábado,9:00,12:00,Calle 72,Calle 26,79,Alta,Lluvioso
Lunes,15:00,18:00,Av. Jiménez,Calle 72,40,Moderada,Soleado
Martes,15:00,18:00,Héroes,Portal Norte,18,Baja,Lluvioso
Jueves,15:00,18:00,Calle 26,Héroes,98,Alta,Lluvioso
Jueves,9:00,12:00,Portal Sur,Héroes,73,Alta,Lluvioso
Domingo,9:00,12:00,Portal Sur,Calle 72,39,Moderada,Soleado
Sábado,9:00,12:00,Av. Jiménez,Calle 26,6,Baja,Soleado
Viernes,12:00,15:00,Av. Jiménez,Portal Sur,66,Alta,Soleado
Lunes,15:00,18:00,Héroes,Calle 26,4,Baja,Lluvioso
Miércoles,9:00,12:00,Portal Norte,Calle 100,41,Moderada,Nublado
Viernes,9:00,12:00,Portal Norte,Héroes,20,Baja,Lluvioso
Viernes,6:00,9:00,Portal Norte,Calle 72,12,Baja,Lluvioso
Martes,21:00,24:00,Av. Jiménez,Calle 26,41,Moderada,Nublado
Martes,21:00,24:00,Calle 26,Av. Jiménez,73,Alta,Lluvioso
Sábado,12:00,15:00,Calle 100,Calle 26,6,Baja,Nublado
Viernes,15:00,18:00,Portal Norte,Calle 100,62,Alta,Lluvioso
Martes,21:00,24:00,Calle 100,Héroes,77,Alta,Lluvioso
Sábado,18:00,21:00,Portal Sur,Calle 26,41,Moderada,Nublado
Martes,18:00,21:00,Portal Sur,Calle 26,10,Baja,Lluvioso
Lunes,18:00,21:00,Portal Norte,Av. Jiménez,69,Alta,Lluvioso
Miércoles,21:00,24:00,Av. Jiménez,Calle 26,47,Moderada,Lluvioso
Miércoles,15:00,18:00,Héroes,Calle 100,65,Alta,Soleado
Martes,9:00,12:00,Portal Norte,Calle 100,14,Baja,Nublado
Martes,6:00,9:00,Calle 72,Portal Norte,70,Alta,Lluvioso
Lunes,18:00,21:00,Portal Sur,Av. Jiménez,49,Moderada,Lluvioso
Domingo,21:00,24:00,Héroes,Calle 26,80,Alta,Nublado
Sábado,18:00,21:00,Calle 100,Héroes,17,Baja,Lluvioso
Sábado,6:00,9:00,Calle 100,Calle 26,80,Alta,Nublado
Viernes,15:00,18:00,Héroes,Av. Jiménez,6,Baja,Nublado
Lunes,21:00,24:00,Calle 26,Portal Sur,4,Baja,Nublado
Lunes,6:00,9:00,Calle 100,Portal Sur,48,Moderada,Lluvioso
Martes,6:00,9:00,Héroes,Av. Jiménez,40,Moderada,Nublado
Viernes,18:00,21:00,Portal Sur,Calle 72,75,Alta,Soleado
Viernes,12:00,15:00,Portal Norte,Av. Jiménez,76,Alta,Soleado
Sábado,9:00,12:00,Portal Norte,Héroes,73,Alta,Soleado
Viernes,18:00,21:00,Av. Jiménez,Calle 72,81,Alta,Nublado
Jueves,9:00,12:00,Héroes,Portal Sur,25,Baja,Soleado
Lunes,15:00,18:00,Calle 72,Calle 26,76,Alta,Soleado
Lunes,15:00,18:00,Calle 26,Portal Norte,47,Moderada,Lluvioso
Domingo,6:00,9:00,Héroes,Portal Norte,82,Alta,Lluvioso
Lunes,6:00,9:00,Portal Norte,Héroes,13,Baja,Lluvioso
Lunes,15:00,18:00,Héroes,Calle 72,81,Alta,Nublado
Viernes,6:00,9:00,Héroes,Calle 100,25,Moderada,Soleado
Martes,21:00,24:00,Calle 72,Av. Jiménez,70,Alta,Soleado
Martes,9:00,12:00,Calle 100,Portal Norte,80,Alta,Nublado
Miércoles,15:00,18:00,Portal Norte,Calle 26,26,Baja,Soleado
Domingo,15:00,18:00,Portal Sur,Av. Jiménez,41,Moderada,Nublado
