estacion,latitud,longitud,capacidad,tiempo_permanencia,hora_dia,clima,dia_semana,evento_especial,distancia_estaciones,hora_pico
Calle 26,4.615955,-74.072385,96,21.32,4,lluvioso,fin de semana,0,15.31,0
Portal Del Norte,4.754521,-74.046076,17,17.21,15,lluvioso,fin de semana,0,4.92,0
Portal Del Norte,4.754521,-74.046076,56,28.67,0,lluvioso,laboral,1,6.37,0
Calle 26,4.615955,-74.072385,35,26.07,20,nublado,laboral,1,9.89,1
Calle 26,4.615955,-74.072385,24,26.76,14,nublado,fin de semana,1,3.53,0
Avenida Chile,4.665855,-74.074947,17,12.42,15,soleado,laboral,1,5.37,0
Gobernacion,4.642477,-74.096455,53,24.93,18,soleado,fin de semana,0,4.35,0
Portal El Dorado,4.681081,-74.121352,47,21.79,8,nublado,laboral,0,16.87,0
Portal El Dorado,4.681081,-74.121352,58,28.48,0,soleado,laboral,0,3.51,0
Calle 100,4.685253,-74.05759,40,24.85,17,nublado,fin de semana,0,17.67,1
Calle 100,4.685253,-74.05759,46,24.77,13,soleado,fin de semana,1,1.62,0
Calle 100,4.685253,-74.05759,44,12.29,19,nublado,laboral,0,12.82,0
Gobernacion,4.642477,-74.096455,84,27.8,5,soleado,fin de semana,0,7.14,0
Avenida Chile,4.665855,-74.074947,56,5.48,10,nublado,laboral,0,0.6,1
Calle 100,4.685253,-74.05759,85,24.93,16,lluvioso,fin de semana,0,18.14,0
Calle 100,4.685253,-74.05759,62,7.82,9,soleado,fin de semana,1,4.04,0
Calle 100,4.685253,-74.05759,44,15.9,20,nublado,fin de semana,0,3.51,0
Avenida Chile,4.665855,-74.074947,25,18.89,18,nublado,laboral,0,9.89,1
Portal Del Norte,4.754521,-74.046076,24,15.74,1,lluvioso,fin de semana,1,17.49,0
Avenida Chile,4.665855,-74.074947,54,22.47,19,nublado,fin de semana,1,8.32,0
Portal Del Norte,4.754521,-74.046076,18,26.66,14,nublado,laboral,1,6.27,1
Avenida Chile,4.665855,-74.074947,66,14.23,9,nublado,fin de semana,0,11.17,0
Avenida Chile,4.665855,-74.074947,98,13.39,22,lluvioso,fin de semana,0,19.38,1
Portal El Dorado,4.681081,-74.121352,90,21.21,12,lluvioso,laboral,0,15.39,1
